frame.number	frame.time_relative	bthci_acl.chandle	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.cid	btatt.opcode	btatt.handle	btatt.starting_handle	btatt.ending_handle	btatt.group_end_handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	btatt.characteristic_configuration_client	btatt.value	_ws.col.info
46939	18894.787000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90dc223a7b2276616c7565223a33322e32323232323232323232323232322c22756e697473223a2243454c53495553227d2c227669736962696c697479223a7b2276616c7565223a3234313430ff2e31362c22756e697473223a224d45544552227d2c227072657373757265223a7b2276616c7565223a33302e3130323835342c22756e697473223a22494e434845535f4f465f4d455243555259227d2c226169725175616c697479223a302c22636c6f7564436f766572223a36332c226365696c696e67486569676874223a7b2276616c7565223a3939393939392c22756e697473223a	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46940	18894.788000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90dd22464f4f54227d7d2c7b2265706f63685365636f6e6473223a313738313738303430302c226465736372697074696f6e223a225061727a69616c6d656e7465206e75766f6c6f736f222c2274656d70223a7b2276616c7565223a33332e33333333333333333333ff33333333362c22756e697473223a2243454c53495553227d2c2270726563697050726f62223a32352c2277696e64223a7b227370656564223a7b2276616c7565223a342e363239393630303030303030303030352c22756e697473223a224d45544552535f5045525f5345434f4e44227d2c22646972656374696f	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46941	18894.788000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90de6e537472696e67223a224e45222c22646972656374696f6e223a34332c22677573745370656564223a7b2276616c7565223a392e37373433362c22756e697473223a224d45544552535f5045525f5345434f4e44227d7d2c2269636f6e223a392c22646577506f696e74223a7b2276616c7565223a31332e3838383838383838383838ff3838392c22756e697473223a2243454c53495553227d2c227576496e646578223a382e3733352c2272656c617469766548756d6964697479223a33312c226665656c734c696b6554656d7065726174757265223a7b2276616c7565223a3333	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46942	18894.788000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90df2e3333333333333333333333333333362c22756e697473223a2243454c53495553227d2c227669736962696c697479223a7b2276616c7565223a32343134302e31362c22756e697473223a224d45544552227d2c227072657373757265223a7b2276616c7565223a33302e3039313234342c22756e697473223a22494e434845535f4f465f4d455243555259227d2c226169725175616c697479223a302c22ff636c6f7564436f766572223a35372c226365696c696e67486569676874223a7b2276616c7565223a3939393939392c22756e697473223a22464f4f54227d7d2c7b2265	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46943	18894.789000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e0706f63685365636f6e6473223a313738313738343030302c226465736372697074696f6e223a225061727a69616c6d656e7465206e75766f6c6f736f222c2274656d70223a7b2276616c7565223a33342e34343434343434343434343434342c22756e697473223a2243454c53495553227d2c2270726563697050726f62223a32302c2277696e64223a7b227370656564223a7b2276616c7565223a342e363239393630303030303030303030352c22756e697473223a224d4554ff4552535f5045525f5345434f4e44227d2c22646972656374696f6e537472696e67223a224e4522	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46944	18894.789000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e12c22646972656374696f6e223a34332c22677573745370656564223a7b2276616c7565223a392e37373433362c22756e697473223a224d45544552535f5045525f5345434f4e44227d7d2c2269636f6e223a392c22646577506f696e74223a7b2276616c7565223a31332e3333333333333333333333333333322c22756e697473223a2243454c53495553227d2c227576496e646578223a382e3435372c2272656c617469766548756d6964697479223a32382c226665656c734c696b6554656d7065726174757265223a7b2276616c7565223a33342eff3434343434343434343434	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46945	18894.789000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e23434342c22756e697473223a2243454c53495553227d2c227669736962696c697479223a7b2276616c7565223a32343134302e31362c22756e697473223a224d45544552227d2c227072657373757265223a7b2276616c7565223a33302e3037393633342c22756e697473223a22494e434845535f4f465f4d455243555259227d2c226169725175616c697479223a302c22636c6f7564436f766572223a35302c226365696c696e67486569676874223a7b2276616c7565223a3939393939392c22756e697473223a22464f4f54227d7d2c7b2265706f63685365636f6e6473223a31	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46946	18894.789000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e33738313738373630302c226465736372ff697074696f6e223a2250726576616c656e74656d656e746520736572656e6f222c2274656d70223a7b2276616c7565223a33352e302c22756e697473223a2243454c53495553227d2c2270726563697050726f62223a31352c2277696e64223a7b227370656564223a7b2276616c7565223a342e363239393630303030303030303030352c22756e697473223a224d45544552535f5045525f5345434f4e44227d2c22646972656374696f6e537472696e67223a224e45222c22646972656374696f6e223a34332c22677573745370656564	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46947	18894.790000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e4223a7b2276616c7565223a392e37373433362c22756e697473223a224d45544552535f5045525f5345434f4eff44227d7d2c2269636f6e223a352c22646577506f696e74223a7b2276616c7565223a31322e3737373737373737373737373737372c22756e697473223a2243454c53495553227d2c227576496e646578223a372e3239352c2272656c617469766548756d6964697479223a32362c226665656c734c696b6554656d7065726174757265223a7b2276616c7565223a33352e302c22756e697473223a2243454c53495553227d2c227669736962696c697479223a7b2276	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46948	18894.790000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e5616c7565223a32343134302e31362c22756e697473223a224d45544552227d2c227072657373757265223a7b2276616c7565223a33302e3036323534342c22756e697473223a2249ff4e434845535f4f465f4d455243555259227d2c226169725175616c697479223a302c22636c6f7564436f766572223a34342c226365696c696e67486569676874223a7b2276616c7565223a3939393939392c22756e697473223a22464f4f54227d7d2c7b2265706f63685365636f6e6473223a313738313739313230302c226465736372697074696f6e223a2250726576616c656e74656d656e	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
