FILE att_latest_chandle.tsv
45369 18778.270000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1d 0x0008  4 0a00ffff ....
46391 18871.149000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46392 18871.179000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46393 18871.179000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x0024,0x0025,0x0028,0x0029,0x002c,0x002d  0  
46395 18871.209000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46396 18871.209000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46397 18871.209000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46398 18871.239000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46399 18871.239000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x002e  0  
46401 18871.268000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46402 18871.269000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46403 18871.269000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46405 18871.272000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46406 18871.272000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46407 18871.272000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x0026,0x0027  0  
46409 18871.329000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46410 18871.329000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x002a,0x002b  0  
46411 18871.329000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46412 18871.329000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46413 18871.330000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46416 18871.389000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46417 18871.389000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x002e  0  
46418 18871.389000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46419 18871.390000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46420 18871.390000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46422 18871.449000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46423 18871.449000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0033  0  
46424 18871.449000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46426 18871.479000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46427 18871.479000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46428 18871.509000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
