frame.number	frame.time_relative	frame.len	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.length	btatt.opcode	btatt.handle	btatt.value	data.data	_ws.col.info
46773	18881.799000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46774	18882.039000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46775	18882.039000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46778	18882.339000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46779	18882.339000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46782	18882.879000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46783	18882.879000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46784	18883.119000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46785	18883.119000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46788	18883.389000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46789	18883.389000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46791	18883.869000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46792	18883.869000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46793	18884.139000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46794	18884.139000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46795	18884.379000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46796	18884.379000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46800	18884.919000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46801	18884.919000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46802	18885.129000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46803	18885.129000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46804	18885.369000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46805	18885.369000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46810	18885.879000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46811	18885.879000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46812	18886.119000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46813	18886.119000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46814	18886.389000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46815	18886.389000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46819	18886.869000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46820	18886.869000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46821	18887.139000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46822	18887.139000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46823	18887.379000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46824	18887.379000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46828	18887.919000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46829	18887.919000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46830	18888.159000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46831	18888.159000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46832	18888.399000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46833	18888.399000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46837	18888.909000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46838	18888.909000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46839	18889.179000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46840	18889.179000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46841	18889.419000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46842	18889.419000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46846	18889.929000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46847	18889.929000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46848	18890.199000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46849	18890.199000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
