frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
47032	33196.898000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
47125	33295.393000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
49297	33510.467000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
49460	33540.767000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
52123	33853.811000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
52138	33855.326000000	0x3e	0x0a	0x0402	f8:79:a1:c6:97:92	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
52151	33855.387000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
52160	33855.659000000	0x3e	0x0a	0x0404	d7:db:be:f3:c5:7f	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
52175	33855.720000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
52180	33855.806000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
52196	33855.898000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
52212	33856.081000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
52220	33856.139000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
52237	33856.230000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
52269	33856.416000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
52368	33856.590000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
52470	33856.886000000	0x3e	0x03	0x0404		0x00	Rcvd LE Meta (LE Connection Update Complete)
52514	33857.495000000	0x3e	0x0a	0x0405	d9:30:4d:9f:56:85	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
52516	33857.498000000	0x05		0x0405		0x00	Rcvd Disconnect Complete
52523	33857.519000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
