frame.number	frame.time_relative	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btatt.handle	btatt.value	_ws.col.info
46994	18896.439000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47094	18896.949000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47100	18897.189000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47105	18897.459000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47206	18897.939000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47216	18898.209000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47220	18898.449000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47234	18898.959000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47240	18899.199000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47243	18899.439000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47264	18899.949000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47273	18900.189000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47279	18900.429000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47286	18900.939000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47290	18901.179000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47293	18901.449000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47296	18901.929000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47300	18902.199000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47302	18902.439000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47377	18902.949000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47383	18903.189000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47385	18903.429000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47388	18903.939000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47390	18904.179000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47394	18904.419000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47397	18904.959000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47399	18905.199000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47403	18905.469000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47406	18905.949000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
